table_id;x_axis_rc_code;y_axis_rc_code
F_18.00;122;400
F_35.00;160;40
C_67.00;17;10
D_05.00;40;H49_1
C_73.00;20;740
C_118.00;205;x418_RU
J_04.00;10;520
J_06.00;60;490
D_09.01;120;150
C_13.01;870;254
C_114.00;170;x418_IT
C_24.00;120;60
C_73.00;20;420
C_91.00;70;100
J_03.00;10;170
D_05.00;30;G47_81
F_18.00;141;933
C_19.00;530;101
C_74.00;120;210
M_02.00;30;60
C_73.00;20;290
C_75.01;40;2380
C_66.01;25;255
C_75.01;80;60
D_05.00;60;A1_49
J_02.00;20;580
D_05.00;140;H49_31
C_13.01;30;510
C_75.01;70;2080
C_75.01;70;2170
C_74.00;150;319
J_03.00;140;560
C_13.01;150;374
C_120.04;190;x101_x1285_x876_x15_x776
C_114.00;180;x417_TN
D_05.00;140;G47_3
C_114.00;206;x418_AM
D_05.00;110;S95_25
C_118.00;203;x419_ES
R_12.00;80;10
C_09.04;10;110
F_23.02;160;400
F_18.00;90;420
C_118.00;180;x415_IR
C_81.00;70;420
J_03.00;30;570
C_05.01;50;111
C_40.00;130;240
C_73.00;60;1420
D_05.00;50;H49_32
C_114.00;150;x417_SN
C_75.01;80;1940
F_18.00;55;430
C_40.00;70;290
D_05.00;70;S96_09
C_102.00;130;NULL
C_66.01;25;470
C_66.01;25;1120
C_74.00;100;263
D_05.00;140;F42_99
F_13.01;55;37
J_06.00;280;600
C_13.01;220;600
C_91.00;40;90
J_03.00;10;630
C_73.00;50;650
C_22.00;100;80
C_16.00;60;130
C_118.00;150;x414_HR
D_05.00;140;G47_41
J_06.00;60;600
C_66.01;10;1220
C_05.02;50;70
R_04.01;30;0020_0020
C_80.00;110;210
J_02.00;90;610
D_07.00;130;480
F_46.00;85;50
C_13.01;20;550
D_05.00;90;P85_32
C_13.01;40;650
C_118.00;150;x418_JP
D_08.00;100;110
C_13.01;240;500
C_75.01;60;2740
D_05.00;140;H49_39
D_05.00;100;H52_22
C_120.02;100;x14_x48_x27
F_18.00;196;490
F_20.04;22;20
J_08.00;20;150
C_07.00;90;160
F_23.03;120;120
D_05.00;80;H49_32
D_05.00;110;N77_21
F_23.02;170;360
C_10.01;60;10
C_75.01;90;2140
J_05.00;270;500
F_23.02;150;400
C_114.00;160;x416_AM
J_04.00;40;580
D_05.00;110;F43_21
D_05.00;40;R91_03
F_20.04;22;40
F_18.00;121;227
D_05.00;140;G47_29
C_80.00;110;400
F_15.00;90;125
F_12.00;90;520
C_07.00;70;190
J_07.00;310;270
D_03.01;70;D35_22_x84
C_74.00;130;263
F_11.04;30;170
D_07.00;30;390
D_05.00;20;Q87_2
C_73.00;50;1130
J_03.00;130;520
J_02.00;130;460
C_114.00;208;x415_AM
F_46.00;120;180
C_13.01;90;660
R_04.01;30;0340_0340
C_73.00;30;80
F_18.00;106;440
D_03.01;70;B8_9_x85
D_05.00;100;G46_7
F_23.03;40;20
C_13.01;130;540
F_08.01;37;180
C_09.04;30;55
C_34.05;70;150
C_32.02;140;190
C_114.00;180;x416_EG
C_80.00;30;260
C_35.02;10;20
C_75.01;80;2520
F_23.03;130;160
J_05.00;60;570
J_02.00;130;380
D_05.00;80;G46_39
J_02.00;130;40
C_21.00;20;125
C_115.00;108;NULL
C_75.01;40;560
C_118.00;190;x416_ID
J_03.00;50;570
C_74.00;40;180
C_18.00;20;140
C_75.01;70;1930
C_24.00;180;70
D_05.00;30;A3_1
C_32.02;170;190
C_18.00;10;140
C_80.00;110;460
C_22.00;70;200
C_75.01;100;250
C_13.01;30;241
D_07.00;100;360
D_05.00;40;K66_29
J_07.00;300;570
C_75.01;100;2680
D_08.00;240;130
C_118.00;205;x418_SG
C_75.01;90;210
F_18.00;58;224
F_23.02;30;240
J_02.00;140;360
C_114.00;170;x416_CR
F_11.02;21;80
C_32.02;200;80
C_18.00;40;385
J_03.00;20;550
C_74.00;50;100
C_07.00;160;70
D_05.00;70;S96_01
C_75.01;20;220
C_20.00;900;110
J_06.00;310;580
D_05.00;100;K66_29
C_114.00;150;x417_VE
F_15.00;80;121
D_05.00;30;G47_29
F_09.01.1;120;40
D_05.00;20;C10_12
C_33.00;290;220
D_05.00;90;J59_12
C_07.00;50;210
J_03.00;10;550
C_34.05;90;30
D_05.00;40;G47_52
D_07.00;90;270
D_08.00;230;170
D_05.00;30;G46_16
C_32.02;150;210
D_05.00;70;S95_24
C_74.00;90;550
F_18.00;57;222
R_06.01;10;40
F_15.00;110;46
D_05.00;100;F42_11
C_118.00;208;x414_DK
C_32.02;190;50
C_34.05;60;80
C_84.00;40;10
F_18.00;142;920
D_05.00;30;G46_32
C_13.01;290;650
F_04.10;40;20
C_13.01;920;500
D_05.00;140;G46_34
C_13.01;910;500
C_13.01;160;350
C_74.00;40;430
D_05.00;50;J58_19
D_09.01;150;170
F_18.00;143;920
C_114.00;209;x417_AR
C_114.00;180;x416_AR
C_75.01;90;2750
C_114.00;180;x416_BH
C_74.00;140;283
C_75.01;60;1970
C_73.00;20;1340
C_16.00;100;30
C_75.01;80;1590
J_04.00;110;610
D_05.00;50;M75
C_13.01;695;370
C_35.02;20;40
C_118.00;160;x416_MU
D_05.00;40;R90_01
D_05.00;70;K66_12
C_07.00;240;90
D_05.00;40;C25_94
R_04.01;80;0190_0190
C_75.01;80;290
J_09.00;30;90
C_114.00;201;x414_RO
C_114.00;160;x415_GG
C_66.01;10;65
D_05.00;140;C25_21
J_05.00;60;610
J_06.00;40;160
C_13.01;40;400
C_32.02;90;190
C_73.00;20;1400
D_05.00;100;N79_9
D_05.00;140;J58_21
D_05.00;140;C25_12
C_16.00;80;50
C_07.00;100;310
C_24.00;160;20
C_13.01;920;560
D_01.00;90;530
C_114.00;190;x417_MU
C_13.01;300;480
F_18.00;170;480
C_75.01;80;1460
R_04.01;80;0020_0020
C_13.01;910;600
F_14.00;60;59
F_25.01;20;70
C_74.00;120;201
C_114.00;209;x415_MY
C_74.00;120;170
C_120.02;100;x12_x48_x27
C_13.01;120;450
D_05.00;30;F43_11
C_07.00;80;180
F_46.00;50;60
C_120.04;180;x7_x130_x876_x15_x776
C_75.01;40;1050
F_20.04;26;20
F_32.01;85;15
D_05.00;40;M72_2
C_13.01;300;510
D_05.00;20;G47_64
J_02.00;100;20
C_66.01;90;740
C_13.01;170;370
F_11.04;40;190
C_118.00;150;x419_ES
